Empresa.....: 01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;Data/Hora.: 10/04/2024 09:43:33;
Itens da Tabela de Preço;;;Usuário.: MARCELO;
;;;;
Tabela.: ;;;;
Periodo.: 01/02/2021 até 31/12/2024;;;;
;;;;
Código Comercial;Código;Produto;Preço CIF;Preço FOB
20813;20813;LINHA 500G OVER ALFA    3000**;20,15;20,15
10280;10280;LINHA 500G OVER ALFA    3001**;20,15;20,15
20812;20812;LINHA 500G OVER ALFA    3002;20,15;20,15
20767;20767;LINHA 500G OVER ALFA    3003;20,15;20,15
20994;20994;LINHA 500G OVER ALFA    3004**;20,15;20,15
12740;12740;LINHA 500G OVER ALFA    3005**;20,15;20,15
20768;20768;LINHA 500G OVER ALFA    3006;20,15;20,15
21111;21111;LINHA 500G OVER ALFA    3009**;20,15;20,15
9940;9940;LINHA 500G OVER ALFA    3500**;20,15;20,15
20769;20769;LINHA 500G OVER ALFA    3501;20,15;20,15
2565;2565;LINHA 500G OVER ALFA    3502**;20,15;20,15
20770;20770;LINHA 500G OVER ALFA    4000;20,15;20,15
20771;20771;LINHA 500G OVER ALFA    4001;20,15;20,15
20947;20947;LINHA 500G OVER ALFA    4002**;20,15;20,15
20928;20928;LINHA 500G OVER ALFA    4003**;20,15;20,15
20818;20818;LINHA 500G OVER ALFA    4007;20,15;20,15
12739;12739;LINHA 500G OVER ALFA    4008**;20,15;20,15
20772;20772;LINHA 500G OVER ALFA    4500;20,15;20,15
20773;20773;LINHA 500G OVER ALFA    4501;20,15;20,15
20929;20929;LINHA 500G OVER ALFA    4502;20,15;20,15
20953;20953;LINHA 500G OVER ALFA    4503**;20,15;20,15
16973;16973;LINHA 500G OVER ALFA    4504**;20,15;20,15
21030;21030;LINHA 500G OVER ALFA    4507**;20,15;20,15
20774;20774;LINHA 500G OVER ALFA    4508;20,15;20,15
20907;20907;LINHA 500G OVER ALFA    4510;20,15;20,15
12738;12738;LINHA 500G OVER ALFA    4512**;20,15;20,15
20945;20945;LINHA 500G OVER ALFA    4516**;20,15;20,15
20967;20967;LINHA 500G OVER ALFA    4517;20,15;20,15
20775;20775;LINHA 500G OVER ALFA    4519;20,15;20,15
12737;12737;LINHA 500G OVER ALFA    4520**;20,15;20,15
8056;8056;LINHA 500G OVER ALFA    4523**;20,15;20,15
20952;20952;LINHA 500G OVER ALFA    5000;20,15;20,15
20776;20776;LINHA 500G OVER ALFA    5001;20,15;20,15
20777;20777;LINHA 500G OVER ALFA    5002;20,15;20,15
20933;20933;LINHA 500G OVER ALFA    5004;20,15;20,15
13969;13969;LINHA 500G OVER ALFA    5005**;20,15;20,15
21161;21161;LINHA 500G OVER ALFA    5006;20,15;20,15
20927;20927;LINHA 500G OVER ALFA    5007;20,15;20,15
20932;20932;LINHA 500G OVER ALFA    5008;20,15;20,15
20778;20778;LINHA 500G OVER ALFA    5009;20,15;20,15
20779;20779;LINHA 500G OVER ALFA    5500;20,15;20,15
15441;15441;LINHA 500G OVER ALFA    5501**;20,15;20,15
19516;19516;LINHA 500G OVER ALFA    5502**;20,15;20,15
20780;20780;LINHA 500G OVER ALFA    5504;20,15;20,15
20271;20271;LINHA 500G OVER ALFA    9900;11,25;11,25
1271;1271;VIES EL. 14MM COR 01 BRANCO ;23,1;23,1
1095;1095;VIES EL. 14MM COR 02 PRETO ;24,4;24,4
882;882;VIES EL. 14MM COR 03 VERMELHO;32,9;32,9
883;883;VIES EL. 14MM COR 06 BANDEIRA ;32,9;32,9
884;884;VIES EL. 14MM COR 07 CANARIO ;32,9;32,9
885;885;VIES EL. 14MM COR 08 AM.B.B ;32,9;32,9
896;896;VIES EL. 14MM COR 09 OURO*;32,9;32,9
886;886;VIES EL. 14MM COR 10 CHUMBO ;32,9;32,9
887;887;VIES EL. 14MM COR 11 PRATA ;32,9;32,9
889;889;VIES EL. 14MM COR 13 CAQUI;32,9;32,9
891;891;VIES EL. 14MM COR 16 LARANJA ;32,9;32,9
897;897;VIES EL. 14MM COR 21 CRU ;32,9;32,9
898;898;VIES EL. 14MM COR 22 MARINHO;32,9;32,9
899;899;VIES EL. 14MM COR 23 ROYAL ;32,9;32,9
900;900;VIES EL. 14MM COR 24 MARROM CAFÉ**;32,9;32,9
894;894;VIES EL. 14MM COR 26 MUSGO ;32,9;32,9
2971;2971;VIES EL. 14MM COR 29 AZUL BEBE*;32,9;32,9
2968;2968;VIES EL. 14MM COR 30 ROSA BB*;32,9;32,9
3509;3509;VIES EL. 14MM COR 3002 PINK*;32,9;32,9
1270;1270;VIES EL. 16MM COR 01 BRANCO;23,1;23,1
1096;1096;VIES EL. 16MM COR 02 PRETO;24,4;24,4
903;903;VIES EL. 16MM COR 03 VERMELHO;32,9;32,9
904;904;VIES EL. 16MM COR 06 BANDEIRA ;32,9;32,9
905;905;VIES EL. 16MM COR 07 CANARIO ;32,9;32,9
906;906;VIES EL. 16MM COR 08 AM.B.B ;32,9;32,9
908;908;VIES EL. 16MM COR 10 CHUMBO ;32,9;32,9
909;909;VIES EL. 16MM COR 11 PRATA ;32,9;32,9
911;911;VIES EL. 16MM COR 13 CAQUI ;32,9;32,9
913;913;VIES EL. 16MM COR 16 LARANJA ;32,9;32,9
912;912;VIES EL. 16MM COR 18 BEGE**;32,9;32,9
914;914;VIES EL. 16MM COR 20 PISCINA;32,9;32,9
919;919;VIES EL. 16MM COR 21 CRU ;32,9;32,9
920;920;VIES EL. 16MM COR 22 MARINHO;32,9;32,9
921;921;VIES EL. 16MM COR 23 ROYAL ;32,9;32,9
922;922;VIES EL. 16MM COR 24 MARROM CAFE;32,9;32,9
916;916;VIES EL. 16MM COR 26 MUSGO ;32,9;32,9
11303;11303;VIES EL. 16MM COR 28 VERDE AGUA*;32,9;32,9
17578;17578;VIES EL. 16MM COR 29 AZUL BEBE**;32,9;32,9
2969;2969;VIES EL. 16MM COR 30 ROSA BB;32,9;32,9
3510;3510;VIES EL. 16MM COR 3002 PINK*;32,9;32,9
923;923;VIES EL. 16MM COR 3006 ROSA FLUOR*;32,9;32,9
21122;21122;VIES EL. 16MM ROSA CAPEZIO;30,9;30,9
982;982;VIES EL. 20MM COR 01 BRANCO;23,1;23,1
1098;1098;VIES EL. 20MM COR 02 PRETO;24,4;24,4
967;967;VIES EL. 20MM COR 03 VERMELHO;32,9;32,9
968;968;VIES EL. 20MM COR 06 BANDEIRA ;32,9;32,9
2674;2674;VIES EL. 20MM COR 07 CANARIO ;32,9;32,9
969;969;VIES EL. 20MM COR 08 AM.B.B;32,9;32,9
970;970;VIES EL. 20MM COR 10 CHUMBO;32,9;32,9
971;971;VIES EL. 20MM COR 11 PRATA ;32,9;32,9
2504;2504;VIES EL. 20MM COR 13 CAQUI**;32,9;32,9
972;972;VIES EL. 20MM COR 16 LARANJA**;32,9;32,9
2676;2676;VIES EL. 20MM COR 20 PISCINA*;32,9;32,9
2418;2418;VIES EL. 20MM COR 21 CRU ;32,9;32,9
974;974;VIES EL. 20MM COR 22 MARINHO;32,9;32,9
975;975;VIES EL. 20MM COR 23 ROYAL ;32,9;32,9
2631;2631;VIES EL. 20MM COR 24 MARROM CAFE;32,9;32,9
973;973;VIES EL. 20MM COR 26 MUSGO ;32,9;32,9
2966;2966;VIES EL. 20MM COR 30 ROSA BB*;32,9;32,9
3511;3511;VIES EL. 20MM COR 3002 PINK*;32,9;32,9
1269;1269;VIES EL. 25MM COR 01 BRANCO;23,1;23,1
17585;17585;VIES EL. 25MM COR 0101**;32,9;32,9
1094;1094;VIES EL. 25MM COR 02 PRETO;24,4;24,4
925;925;VIES EL. 25MM COR 03 VERMELHO;32,9;32,9
18437;18437;VIES EL. 25MM COR 0506 LIMAO FLUOR**;32,9;32,9
926;926;VIES EL. 25MM COR 06 BANDEIRA ;32,9;32,9
927;927;VIES EL. 25MM COR 07 CANARIO ;32,9;32,9
928;928;VIES EL. 25MM COR 08 AM.B.B ;32,9;32,9
939;939;VIES EL. 25MM COR 09 OURO*;32,9;32,9
929;929;VIES EL. 25MM COR 10 CHUMBO;32,9;32,9
15239;15239;VIES EL. 25MM COR 1003 LARANJA FLUOR**;32,9;32,9
930;930;VIES EL. 25MM COR 11 PRATA ;32,9;32,9
932;932;VIES EL. 25MM COR 13 CAQUI ;32,9;32,9
934;934;VIES EL. 25MM COR 16 LARANJA ;32,9;32,9
935;935;VIES EL. 25MM COR 20 PISCINA*;32,9;32,9
940;940;VIES EL. 25MM COR 21 CRU;32,9;32,9
941;941;VIES EL. 25MM COR 22 MARINHO;32,9;32,9
942;942;VIES EL. 25MM COR 23 ROYAL ;32,9;32,9
943;943;VIES EL. 25MM COR 24 MARROM CAFE ;32,9;32,9
15238;15238;VIES EL. 25MM COR 2511 VERDE FLUOR**;32,9;32,9
937;937;VIES EL. 25MM COR 26 MUSGO;32,9;32,9
7923;7923;VIES EL. 25MM COR 28 VERDE AGUA*;32,9;32,9
2974;2974;VIES EL. 25MM COR 29 AZUL BEBE*;32,9;32,9
2967;2967;VIES EL. 25MM COR 30 ROSA BB*;32,9;32,9
3512;3512;VIES EL. 25MM COR 3002 PINK*;32,9;32,9
944;944;VIES EL. 25MM COR 3006 ROSA FLUOR*;32,9;32,9
14658;14658;VIES EL. 25MM COR 4002**;32,9;32,9
12002;12002;VIES EL. 25MM COR 4003*;32,9;32,9
931;931;VIES EL. 25MM COR 4007 GRENA*;32,9;32,9
20905;20905;VIES EL. 25MM COR 4502**;32,9;32,9
20948;20948;VIES EL. 25MM COR 5500**;32,9;32,9
20963;20963;VIES EL. 25MM ROXO TASCHE;32,9;32,9
1268;1268;VIES EL. 30MM COR 01 BRANCO;23,1;23,1
1097;1097;VIES EL. 30MM COR 02 PRETO;24,4;24,4
946;946;VIES EL. 30MM COR 03 VERMELHO;32,9;32,9
947;947;VIES EL. 30MM COR 06 BANDEIRA ;32,9;32,9
948;948;VIES EL. 30MM COR 07 CANARIO**;32,9;32,9
949;949;VIES EL. 30MM COR 08 AM.B.B**;32,9;32,9
960;960;VIES EL. 30MM COR 09 OURO *;32,9;32,9
950;950;VIES EL. 30MM COR 10 CHUMBO** ;32,9;32,9
951;951;VIES EL. 30MM COR 11 PRATA ;32,9;32,9
953;953;VIES EL. 30MM COR 13 CAQUI ;32,9;32,9
955;955;VIES EL. 30MM COR 16 LARANJA**;32,9;32,9
956;956;VIES EL. 30MM COR 20 PISCINA*;32,9;32,9
961;961;VIES EL. 30MM COR 21 CRU ;32,9;32,9
962;962;VIES EL. 30MM COR 22 MARINHO;32,9;32,9
963;963;VIES EL. 30MM COR 23 ROYAL ;32,9;32,9
964;964;VIES EL. 30MM COR 24 MARROM CAFE*;32,9;32,9
958;958;VIES EL. 30MM COR 26 MUSGO**;32,9;32,9
7922;7922;VIES EL. 30MM COR 28 VERDE AGUA*;32,9;32,9
2975;2975;VIES EL. 30MM COR 29 AZUL BEBE*;32,9;32,9
2970;2970;VIES EL. 30MM COR 30 ROSA BB*;32,9;32,9
965;965;VIES EL. 30MM COR 3006 ROSA FLUOR*;32,9;32,9
15263;15263;VIES EL. 30MM COR 4003*;32,9;32,9
952;952;VIES EL. 30MM COR 4007 GRENA*;32,9;32,9
