01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;;;;;;;;;
;;;;;;;;;;;;
Categoria :TODAS;;;;;;;;;;;;
SubCategoria :TODAS;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Familia;Sub-Familia;Codigo;Codigo Comercial;Descricao;Peso Embalagem;Peso Produto;Unidade Caixa;Caixa por Pallet;M3 por Caixa;M3 por Produto;Unidade Medida Padrao;Unidade Medida Provedor
ABAS;NORMAL;3587;3587;ABA ALFA 25 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;3589;3589;ABA NORMAL ;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;4130;4130;ABA ALFA 03 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;12214;12214;ABA NORMAL CURVA A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;15396;15396;ABA NORMAL CURVA A 42;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;20241;20241;ABA NORMAL CURVA A138 / G130 ;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;20375;20375;ABA NORMAL CURVA A 85;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;223;223;ABA ALFA 54 CURVA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;253;253;ABA NORMAL CURVA A54 / G02;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;254;254;ABA NORMAL CURVA A58 / G30;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;259;259;ABA ALFA 20 CURVA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;288;288;ABA ALFA 41 INFANTIL NORMAL CURVA PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;293;293;ABA NORMAL CURVA G55 B;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;3005;3005;ABA ALFA 26 CURVA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;3028;3028;ABA NORMAL CURVA A 30;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;304;304;ABA ALFA 79 CURVA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;3276;3276;ABA ALFA 42 CURVA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL CURVA;7322;7322;ABA NORMAL CURVA A163 / G26;1;1;0;0;0;0;KILOS;KILOS
ACESSORIOS;APARELHOS;11139;11139;ETIQUETADEIRA IMPORTADA;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;APARELHOS;2887;2887;ETIQUETADEIRA DENNISON MARK III-10651;0,2;0,2;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;APARELHOS;2895;2895;MOLA DE COMPRESSÃO* ;0,02;0,02;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;11307;11307;MATRIZ P/ILHOS 108/45 MARGARIDA 1495;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;12260;12260;BASE NYLON P/MATRIZ DE CORTE;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;124;124;MATRIZ P/ ILHOS OVAL 225.160.060 39012;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;125;125;MATRIZ P/ILHOS 110/50 1487;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;131;131;MATRIZ  PREGAR BOTAO PLASTICO ENCAPADO  ;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;14114;14114;MATRIZ RETA BOTAO PQ DE METAL ;1;1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;16096;16096;MATRIZ  PARA ENFEITE 3/35* ;0,1;0,1;0;0;0;0;PECAS;PECAS
ACESSORIOS;MATRIZ;16106;16106;MATRIZ PARA ENFEITE 7/45* ;0,1;0,1;0;0;0;0;PECAS;PECAS
ACESSORIOS;MATRIZ;16838;16838;MATRIZ REBITE 4010;0,1;0,1;0;0;0;0;UNIDADES;UNIDADES
ACESSORIOS;MATRIZ;17208;17208;MATRIZ PARA ENFEITE 05/50* ;0,1;0,1;0;0;0;0;PECAS;PECAS
