Empresa.....: N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;Data/Hora.: 09/04/2024 16:43:11;;;;;;;;;;;;
TABELA DE PREÇO;;;;Usuário.: MARCELO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Descrição...: TABELA DE PRECO 18/03;;;;;;;;;;;;;;;;
Dt. Inicial...........: 17/03/2013;;Dt. Final.......: 31/12/2050;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código;Código Comercial;Produto;Preço de Venda;COMISSAO 1 %;COMISSAO 2 %;COMISSAO 3 %;COMISSAO 4 %;COMISSAO 5 %;COMISSAO 6 %;COMISSAO 7 %;COMISSAO 8 %;COMISSAO 9 %;COMISSAO 10 %;;;
13044;13044;ABA EXPANDIDA BRANCA CURVA  A 145;36,2500;36,6125;36,9750;37,3375;37,7000;38,0625;38,4250;38,7875;39,1500;39,5125;39,8750;;;
3004;3004;ABA EXPANDIDA BRANCA CURVA A69 / G32;36,2500;36,6125;36,9750;37,3375;37,7000;38,0625;38,4250;38,7875;39,1500;39,5125;39,8750;;;
19117;19117;ABA EXPANDIDA CURVA A163 / G26;19,2000;19,3920;19,5840;19,7760;19,9680;20,1600;20,3520;20,5440;20,7360;20,9280;21,1200;;;
2584;2584;ABA EXPANDIDA CURVA A58 / G30;19,2000;19,3920;19,5840;19,7760;19,9680;20,1600;20,3520;20,5440;20,7360;20,9280;21,1200;;;
2604;2604;ABA EXPANDIDA G 146 B;19,2000;19,3920;19,5840;19,7760;19,9680;20,1600;20,3520;20,5440;20,7360;20,9280;21,1200;;;
3589;3589;ABA NORMAL ;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
258;258;ABA NORMAL A 03;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
20191;20191;ABA NORMAL A 119;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
3572;3572;ABA NORMAL A 134;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
273;273;ABA NORMAL A 14;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
284;284;ABA NORMAL A 30;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
207;207;ABA NORMAL A 38 VISEIRA;25,6000;25,8560;26,1120;26,3680;26,6240;26,8800;27,1360;27,3920;27,6480;27,9040;28,1600;;;
299;299;ABA NORMAL A 64;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
301;301;ABA NORMAL A 70;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
317;317;ABA NORMAL A 98;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
19152;19152;ABA NORMAL A15 VISEIRA;25,6000;25,8560;26,1120;26,3680;26,6240;26,8800;27,1360;27,3920;27,6480;27,9040;28,1600;;;
2991;2991;ABA NORMAL A192;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
287;287;ABA NORMAL A34 / G34;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
295;295;ABA NORMAL A54 / G02;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
297;297;ABA NORMAL A58 / G30;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
15308;15308;ABA NORMAL A69 / G32;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
305;305;ABA NORMAL A82 / G15;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
3028;3028;ABA NORMAL CURVA A 30;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
15396;15396;ABA NORMAL CURVA A 42;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
20375;20375;ABA NORMAL CURVA A 85;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
20241;20241;ABA NORMAL CURVA A138 / G130 ;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
7322;7322;ABA NORMAL CURVA A163 / G26;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
253;253;ABA NORMAL CURVA A54 / G02;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
254;254;ABA NORMAL CURVA A58 / G30;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
12214;12214;ABA NORMAL CURVA A69 / G32;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
293;293;ABA NORMAL CURVA G55 B;9,4500;9,5445;9,6390;9,7335;9,8280;9,9225;10,0170;10,1115;10,2060;10,3005;10,3950;;;
2471;2471;ABA NORMAL G100 VISEIRA;25,6000;25,8560;26,1120;26,3680;26,6240;26,8800;27,1360;27,3920;27,6480;27,9040;28,1600;;;
282;282;ABA NORMAL G37;15,8000;15,9580;16,1160;16,2740;16,4320;16,5900;16,7480;16,9060;17,0640;17,2220;17,3800;;;
311;311;ABA NORMAL INFANTIL A133 / G22B;16,0500;16,2105;16,3710;16,5315;16,6920;16,8525;17,0130;17,1735;17,3340;17,4945;17,6550;;;
1493;1493;AGUARRAZ SOLVENTE 18 LTS;290,0000;292,9000;295,8000;298,7000;301,6000;304,5000;307,4000;310,3000;313,2000;316,1000;319,0000;;;
17814;4465;AGUARRAZ SOLVENTE 5 LTS;82,0000;82,8200;83,6400;84,4600;85,2800;86,1000;86,9200;87,7400;88,5600;89,3800;90,2000;;;
8328;8328;AGULHA  B 64 GB 130/21 INTERLOQUE 75045*;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
15044;15044;AGULHA DE COSTURA;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
15303;15303;AGULHA DE MALHARIA BEHA 79.93 T 01 (32305);1,6000;1,6160;1,6320;1,6480;1,6640;1,6800;1,6960;1,7120;1,7280;1,7440;1,7600;;;
15299;15299;AGULHA DO X 558 120/19 RS GB *;1,1400;1,1514;1,1628;1,1742;1,1856;1,1970;1,2084;1,2198;1,2312;1,2426;1,2540;;;
15233;15233;AGULHA DO X 558 130/21 RS GB 75447*;1,1400;1,1514;1,1628;1,1742;1,1856;1,1970;1,2084;1,2198;1,2312;1,2426;1,2540;;;
16377;16377;AGULHA DP X 17   75/11 PONTO FIXO GB 75850;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
10078;10078;AGULHA DP X 17  090/14 PONTO FIXO GB 75278**;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
16355;16355;AGULHA DP X 17  100/16 PONTO FIXO GB 71901;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
9404;9404;AGULHA DP X 17  110/18 PONTO FIXO GB 74461;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
8957;8957;AGULHA DP X 17  130/21 PONTO FIXO GB 76767;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
9167;9167;AGULHA DP X 17  140/22 PONTO FIXO GB 71885 ;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
16350;16350;AGULHA DP X 17  160/23 PONTO FIXO GB 71886;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
16351;16351;AGULHA DP X 17  200/25 PONTO FIXO GB 71888;1,8500;1,8685;1,8870;1,9055;1,9240;1,9425;1,9610;1,9795;1,9980;2,0165;2,0350;;;
1891;1891;AGULHA ELASTIQUEIRA UY 113 100/16 GB 75035*;3,9000;3,9390;3,9780;4,0170;4,0560;4,0950;4,1340;4,1730;4,2120;4,2510;4,2900;;;
8944;8944;AGULHA ELASTIQUEIRA UY 113 125/20 GB 70372*;3,9000;3,9390;3,9780;4,0170;4,0560;4,0950;4,1340;4,1730;4,2120;4,2510;4,2900;;;
8945;8945;AGULHA ELASTIQUEIRA UY 113 130/21 GB 75606;3,9000;3,9390;3,9780;4,0170;4,0560;4,0950;4,1340;4,1730;4,2120;4,2510;4,2900;;;
8946;8946;AGULHA ELASTIQUEIRA UY 113 140/22 GB 75064*;3,9000;3,9390;3,9780;4,0170;4,0560;4,0950;4,1340;4,1730;4,2120;4,2510;4,2900;;;
14562;14562;AGULHA ETIQUETADEIRA MICRO TACH 11041;28,5000;28,7850;29,0700;29,3550;29,6400;29,9250;30,2100;30,4950;30,7800;31,0650;31,3500;;;
19432;19432;AGULHA ETIQUETADEIRA 204 C/5 UNIDADES;18,0500;18,2305;18,4110;18,5915;18,7720;18,9525;19,1330;19,3135;19,4940;19,6745;19,8550;;;
8860;8860;AGULHA GALONEIRA B 63 - 070/10 GB 77431;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
8861;8861;AGULHA GALONEIRA B 63 - 075/11 GB 77432;2,2500;2,2725;2,2950;2,3175;2,3400;2,3625;2,3850;2,4075;2,4300;2,4525;2,4750;;;
